question,label
서울 꽃구경 가고 싶다고,travel
인천 바다 보러 갈거 같아,travel
어느 관광지 좋을까,travel
부산 야구장 관광지 알고 싶어,travel
갈만한 대구 스키 관광지 추천해 주세요,travel
광주 꽃구경 가고 싶다고요,travel
울산 수목원 알려줘 봐요,travel
관광지 있는지 모르겠네요,travel
인천 워터파크 개장한 곳 있어,travel
어디 관광지 가겠냐,travel
파주 유명한 공연장 알려줘,travel
창원 여행 갈만한 바다,travel
평택 갈만한 스키장 여행 해보고 싶네,travel
제주도 템플스테이 여행 갈 데 추천해 줘,travel
전주 가까운 바다 관광지 보여줘 봐요,travel
용인 가까운 축구장 어딨어,travel
붐비는 관광지,travel
청주 가을 풍경 예쁜 산 가보고 싶어,travel
안산 다시 오고 싶은 템플스테이,travel
시흥 가까운 물놀이 알려 좀 줘봐요,travel
춘천 동물원 관광지 알려주라,travel
목포 꽃놀이 어디 가는게 좋을까,travel
대산면 가까운 사찰 관광지 추천해 줬으면 해요,travel
강남구 미술관 관광지 알려줘,travel
강동구 경기장 구경 갈래,travel
강북구 볼링장 가고 싶네요,travel
강서구 가까운 문학관 관광지 어디 가야 할까,travel
관악구 갈만한 연극 추천받고 싶은데요,travel
혹시 광진구 바닷가 갈만한 데 어디니,travel
구로구 가까운 시장 관광지 원해요,travel
금천구 꽃구경 위치 알려줘,travel
노원구 가까운 절 관광지 알려주면 좋겠어요,travel
도봉구 박물관 갈만한 곳 추천해 줘,travel
동대문구 놀이공원 알고 싶다고요,travel
동작구 계곡 가고 싶은데 알려줄래,travel
관광지 보고 싶다고,travel
서대문구 놀이동산 괜찮을까요,travel
서초구 유명한 등산 관광지 추천해 주세요,travel
성동구 주변 갈만한 계곡 어디,travel
성북구 에버랜드 가고 싶어,travel
송파구 가까운 축구 관광지 가고싶어,travel
양천구 유명한 바닷가 알려줘 봐요,travel
영등포구 속 뻥 뚫리는 산책로,travel
광명구 물놀이 하고 싶어,travel
은평구 유명한 산 관광지 어디 있니,travel
종로구 가족끼리 계곡 여행,travel
그럼 중구 축구장 어디,travel
그럼 중랑구 시장 관광지 추천해 줘,travel
부산 서구 해수욕장 추천 필요해,travel
서울 동구 꽃구경 할만한 곳 어디,travel
영도구 계곡 보고 싶은데 추천해 줘,travel
부산진구 시원한 여름 축제,travel
건대 근처 쉼터 있니 알려줘,travel
신촌 가까운 야구장 어디 있어,travel
강남 가로수길 갈만한 산 없나요,travel
인사동 갈만한 워터파크 추천해 줘,travel
효자동 인기 있는 스키 구경거리 추천해줘,travel
완산구 갈만한 단풍 구경거리 보고싶어요,travel
덕진구 스키장 개장한 곳 있지 않아,travel
전라도 광주 미술관 구경거리 부탁해,travel
서울 유명한 꽃놀이 정보,travel
서울 가까운 바다 구경거리 추천해 봐,travel
부산 야구장 구경거리,travel
한림읍 유명한 축구 구경거리 보여줘 봐,travel
생비량면 갈만한 단풍 축제 구경하고 싶은데요,travel
미천면 갈만한 단풍 구경거리 추천받고 싶어요,travel
갈법한 외서면 1월 축제 보여줘,travel
장안면 혹시 식물원 구경거리 추천해 줄 수 있어,travel
울릉도 가볼만한 계곡 알려주세요,travel
연천 계곡 추천 받고 싶다,travel
안양 가까운 계곡 추천 좀 해봐요,travel
의왕 추천해 주고픈 꽃구경,travel
가볼만한 안산 워터파크 있어,travel
물놀이 하고 싶은데 현남면 갈만한 데 있어,travel
경기도 화성 소풍 가는거 어때,travel
오산 축구장 어디 있을까,travel
현북면 해수욕장 구경거리 알려줘 봐,travel
당진 가까운 연극 구경거리 알려줬으면 해,travel
쉬고 싶은데 갈만한 천안 구경거리 어디 갈까,travel
아산 식물원 보여줘 봐요,travel
태안 벚꽃 보고 싶다,travel
홍성 놀이공원 보고 싶네요,travel
예산 유명한 사찰 구경거리 원해,travel
보령 가까운 동물원 구경거리 어디 가야 할지 모르겠어,travel
청양 유명한 축구장,travel
부여 에버랜드 구경거리 가고 싶어,travel
공주 소풍 가고 싶어,travel
스트레스 풀고 싶은데 논산 운동 장소 없나,travel
서천 박물관 알려줘,travel
군산 꽃구경 원해요,travel
추운데 익산 스키장 어때,travel
김제 꽃 보고 싶은데 식물원 알려줘,travel
사랑 받는 부안 산책로,travel
그럼 완주 갈만한 깨끗한 바다 있는가,travel
영광 사찰 알고 싶다고,travel
장성 바다 있지,travel
담양 벚꽃 볼거리 띄워주세요,travel
전북 순창 유명한 가을 축제 볼거리 알려줘 봐요,travel
신안 등산 갈 거에요,travel
광주 시장 추천 좀 해줘,travel
영암 물놀이 여행 어디 갈까,travel
장흥 문학관 볼거리 보여줘 봐요,travel
강진 넓은 경기장 알려주세요,travel
해남 7월 축제 가고 싶어,travel
진도 등산 갈거야,travel
완도 겨울 축제 추천해 줘라,travel
고흥 주변 축제 있니,travel
거금도 넓은 방있는 호텔,travel
여수 물놀이 하고 싶어,travel
순천 가까운 스키 볼거리 어디에요,travel
화순 가까운 놀이동산 볼거리 부탁드립니다,travel
놀기 좋은 보성 계곡,travel
나주 갈만한 등산 볼거리 가보고 싶네요,travel
남해 가까운 바다 볼거리,travel
동검도 바다 있죠,travel
광양 해수욕장 장소 추천해 줘,travel
호남 7월 축제 알려달라고요,travel
유명한 의령 미술관 보여줘 봐요,travel
산청 가까운 산 볼거리 어디,travel
합천 단풍 볼거리 말해줘,travel
창녕 11월 축제 추천 좀 부탁할게요,travel
밀양 바다 볼거리 추천해 줘,travel
기장 겨울 풍경 예쁜 산 알려줘,travel
울주 주목받는 축제,travel
경주 가까운 바다 궁금해,travel
영덕 축제 있는지 좀 알려주세요,travel
영양 유명한 축제 알려줘 봐,travel
안동 유명한 전시관 추천해 봐요,travel
의성 놀이공원 있어요,travel
동해 유명한 깨끗한 바다 볼거리,travel
서울 연극 가고 싶어요,travel
태백 축제 몇 가지 알려줘,travel
속초 대포항 가까운 놀이공원 어디,travel
속초 단풍 축제 읊어봐,travel
양구 깨끗한 바다 볼거리 알려줄래,travel
칠곡면 스키 타고 싶은데 스키장 추천해 줘,travel
휴전면 축구장 어디 있냐,travel
더워서 화천 계곡 가보고 싶은데요,travel
강원 오봉산 가을 연극 할래,travel
놀고 싶은데 즐길만한 볼거리 있을까,travel
춘천 유명한 해수욕장 가볼래,travel
철원 갈만한 스키장 볼거리 가보고 싶네,travel
명성 축제 띄워주었으면 좋겠어요,travel
백운 경기장 알려주지 않을래,travel
어디 볼거리 추천할래,travel
구룡포 등산로 띄워주었음 좋겠어요,travel
모가면 문학관 추천해 줘,travel
설성면 괜찮은 등산로 있는지 모르겠는데 해결 좀 해줘,travel
연제구 민속놀이 배우고 싶어,travel
수영구 알법한 축제 알려줘,travel
사상구 유명한 꽃구경 정보 알고 싶어,travel
기장구 가족끼리 계곡 여행 가고 싶어,travel
미추홀구 취사 가능한 산림,travel
서울 테마공원 있는지 모르겠어,travel
남동구 가까운 바다 있으면 말해줘,travel
부평구 갈만한 절 있을까요,travel
가까운 바다 볼거리 있어요,travel
유명한 꽃놀이 정보 알려주세요,travel
유명한 에버랜드 볼거리 있어,travel
추천할만한 축구 볼거리 있어,travel
볼거리 몰라서 문제네요,travel
경기장 알려주지 않겠니,travel
유명한 스키장 어디 있어요,travel
가까운 등산 볼거리 볼래,travel
꽃구경 보여주지 않을래,travel
전시관 좀 알려줘,travel
갈만한 깨끗한 바다 촬영장 있나요,travel
넓은 경기장 추천해 줘,travel
여름 갈만한 촬영장 알려주세요,travel
문학관 촬영장 알려줄 수 있어,travel
해수욕장 가고 싶네,travel
촬영장 있지 않을까,travel
어디 축제 좋겠어,travel
깨끗한 계곡 말해줘,travel
촬영장 보고 싶다고요,travel
혹시 동물원 촬영장 알려줄 수 있을까,travel
주변 꽃 핀 공원 있으면 알려줘,travel
촬영장 가보고 싶은데,travel
가까운 바다 촬영장 알려줘 봐요,travel
가까운 식물원 촬영장 어디 가야 할지 모르겠어,travel
유명한 등산 촬영장 추천 부탁한다,travel
꽃 축제 열리는 곳 알려줘,travel
꽃놀이 있을지 고민이네,travel
전시관 촬영장 보여줘 봐,travel
계곡 있나요,travel
꽃구경 둘이서 하고 싶어,travel
물놀이 할만한 곳 있을까,travel
가까운 에버랜드 위치 모르겠어,travel
유명한 계곡 여행지 있죠,travel
어디 여행지 갈 건가요,travel
넓은 풋살장 있는지 모르겠어요,travel
여행지 추천해 달라고,travel
박물관 있니,travel
유명한 바다 여행지 알려줘,travel
여행지 없을까요,travel
여름 여행지 알려줘,travel
추천하는 여행지,travel
괜찮은 꽃구경 있을지 고민되네,travel
가까운 바다 여행지 있지,travel
가까운 꽃놀이 여행지 볼래요,travel
더운데 워터파크 갈까,travel
계곡 괜찮은가,travel
유명한 야구장 여행지 추천해 줘요,travel
갈만한 절 여행지 추천해 줘,travel
바다 관련된 여행지 좀 보여줘,travel
갈만한 여행지 있어,travel
갈만한 산 있어요,travel
식물원 추천해,travel
수목원 여행지 알고 싶어,travel
유명한 깨끗한 바다 여행지 어디 있냐,travel
연극 여행지 추천해 줘,travel
수영장 어디,travel
바다 여행지 있어,travel
야구 여행지 갈만한 곳 추천해 줘,travel
유명한 산 여행지 알고 싶어,travel
계곡 가고 싶어,travel
여행지 있지 않을까요,travel
갈만한 바다 여행지 부탁드려요,travel
가까운 연극 여행지 추천해주길 바래,travel
사람들 원하는 여행지,travel
주변 높지 않은 산 추천해 줘,travel
계곡 여행지 보고 싶어,travel
괜찮은 사찰 여행지 있나요,travel
여행지 어디 가면 좋을까,travel
가까운 연극 여행지 보여주길 바래,travel
어느 여행지 가야 잘했다 소문 날까,travel
가까운 바다 있니,travel
괜찮은 숲 알려줘,travel
갈만한 단풍 여행지 보고싶어요,travel
연인 갈법한 여행지,travel
계곡 어디 좋니,travel
갈만한 꽃놀이 있어,travel
어디 여행지 갈 건가,travel
배 타고 싶어요,travel
가까운 바다 여행지 있어,travel
꽃구경 해보는 것 어때,travel
튤립 핀 곳 있어,travel
여행지 추천해 줘,travel
깨끗한 바다 없나,travel
예쁜 바다 여행지 알려주세요,travel
동물원 여행지 있어,travel
가까운 수목원 어디인지 모르겠어요,travel
어디서 꽃구경 해,travel
냉동실 같은 계곡,travel
해수욕장 할래,travel
봄꽃 축제 갈만한 곳 있어,travel
가까운 놀이동산 여행지 부탁해요,travel
산책로 구경시켜주지 않을래,travel
해수욕장 가능한가요,travel
유명한 단풍 여행지,travel
가까운 템플스테이 여행지 갈래요,travel
경기장 어떤가요,travel
가까운 사찰 여행지 알려줬으면 해요,travel
괜찮은 여행지 몰라서 문제네,travel
자전거 탈래,travel
즐길만한 축제 알려줘,travel
혼자 놀이동산 갈래,travel
유명한 해수욕장 여행지 추천 원해요,travel
가까운 단풍놀이 여행지 보여줬으면 해,travel
단풍놀이 원해요,travel
당신이라면 어디 여행지 갈거야,travel
놀이공원 여행지 있어,travel
유명한 계곡 여행지 있어요,travel
쉬고 싶은데 갈만한 여행지 있을까,travel
유명한 경기장 여행지 알려줘,travel
꽃놀이 가고 싶어요,travel
유명한 수영장 있나,travel
공기좋은 등산로,travel
가까운 산 여행지 궁금해요,travel
여행지 어디 있냐,travel
가까운 템플스테이 여행지 알려주면 좋겠어요,travel
갈만한 산책로 있지 않아요,travel
유명한 해수욕장 여행지 추천 원해,travel
계곡 보고 싶어,travel
벚꽃 축제 보러 갈래,travel
유명한 스키장 가고 싶어,travel
유명한 절 원해요,travel
템플스테이 추천 필요해요,travel
꽃구경 갈래요,travel
가까운 바다 여행지 알려줘 봐,travel
유명한 야구 여행지 보여줘 봐요,travel
등산 갈래,travel
노래 듣고 싶어,travel
멋진 박물관 보여줘,travel
여행지 있는지 고민이네,travel
야구장 알려줘,travel
유명한 절 여행지 원해요,travel
나만 알고 싶은 산림 여행지,travel
